invoice_id,action,pay_prob,promise_prob,partial_pay_prob,ignore_prob,annoyance_penalty
INV00012,firm_reminder,0.209,0.114,0.057,0.62,0.05
INV00012,phone_call,0.223,0.121,0.061,0.595,0.06
INV00012,payment_plan_offer,0.28,0.153,0.076,0.491,0.03
INV00012,escalate_collections,0.277,0.151,0.076,0.496,0.18
INV00013,gentle_reminder,0.123,0.067,0.033,0.777,0.02
INV00013,firm_reminder,0.131,0.071,0.036,0.762,0.05
INV00013,phone_call,0.188,0.103,0.051,0.658,0.06
INV00013,payment_plan_offer,0.217,0.119,0.059,0.605,0.03
INV00013,escalate_collections,0.228,0.125,0.062,0.585,0.18
INV00014,gentle_reminder,0.229,0.125,0.063,0.583,0.02
INV00014,firm_reminder,0.269,0.147,0.073,0.511,0.05
INV00014,phone_call,0.322,0.175,0.088,0.415,0.06
INV00014,payment_plan_offer,0.335,0.183,0.091,0.391,0.03
INV00014,escalate_collections,0.389,0.212,0.106,0.293,0.18
INV00015,gentle_reminder,0.042,0.023,0.012,0.923,0.02
INV00015,firm_reminder,0.083,0.045,0.023,0.849,0.05
INV00015,phone_call,0.102,0.055,0.028,0.815,0.06
INV00015,payment_plan_offer,0.144,0.079,0.039,0.738,0.03
INV00015,escalate_collections,0.191,0.104,0.052,0.653,0.18
INV00016,gentle_reminder,0.148,0.081,0.04,0.731,0.02
INV00016,firm_reminder,0.239,0.13,0.065,0.566,0.05
INV00016,phone_call,0.237,0.129,0.065,0.569,0.06
INV00016,payment_plan_offer,0.276,0.15,0.075,0.499,0.03
INV00016,escalate_collections,0.306,0.167,0.083,0.444,0.18
INV00017,gentle_reminder,0.197,0.107,0.054,0.642,0.02
INV00017,firm_reminder,0.229,0.125,0.063,0.583,0.05
INV00017,phone_call,0.236,0.129,0.064,0.571,0.06
INV00017,payment_plan_offer,0.302,0.165,0.082,0.451,0.03
INV00017,escalate_collections,0.341,0.186,0.093,0.38,0.18
INV00018,gentle_reminder,0.226,0.123,0.062,0.589,0.02
INV00018,firm_reminder,0.267,0.146,0.073,0.514,0.05
INV00018,phone_call,0.29,0.158,0.079,0.473,0.06
INV00018,payment_plan_offer,0.321,0.175,0.087,0.417,0.03
INV00018,escalate_collections,0.366,0.199,0.1,0.335,0.18
INV00019,gentle_reminder,0.092,0.05,0.025,0.833,0.02
INV00019,firm_reminder,0.129,0.071,0.035,0.765,0.05
INV00019,phone_call,0.164,0.089,0.045,0.702,0.06
INV00019,payment_plan_offer,0.172,0.094,0.047,0.687,0.03
INV00019,escalate_collections,0.21,0.115,0.057,0.618,0.18
INV00020,gentle_reminder,0.098,0.053,0.027,0.822,0.02
INV00020,firm_reminder,0.138,0.075,0.038,0.749,0.05
INV00020,phone_call,0.187,0.102,0.051,0.66,0.06
INV00020,payment_plan_offer,0.196,0.107,0.054,0.643,0.03
INV00020,escalate_collections,0.228,0.124,0.062,0.586,0.18
INV00021,gentle_reminder,0.151,0.082,0.041,0.726,0.02
INV00021,firm_reminder,0.163,0.089,0.045,0.703,0.05
INV00021,phone_call,0.204,0.111,0.056,0.629,0.06
INV00021,payment_plan_offer,0.241,0.131,0.066,0.562,0.03
INV00021,escalate_collections,0.293,0.16,0.08,0.467,0.18
INV00022,gentle_reminder,0.184,0.1,0.05,0.666,0.02
INV00022,firm_reminder,0.223,0.122,0.061,0.594,0.05
INV00022,phone_call,0.242,0.132,0.066,0.56,0.06
INV00022,payment_plan_offer,0.251,0.137,0.069,0.543,0.03
INV00022,escalate_collections,0.308,0.168,0.084,0.44,0.18
INV00023,gentle_reminder,0.141,0.077,0.038,0.744,0.02
INV00023,firm_reminder,0.206,0.112,0.056,0.626,0.05
INV00023,phone_call,0.231,0.126,0.063,0.58,0.06
INV00023,payment_plan_offer,0.267,0.145,0.073,0.515,0.03
INV00023,escalate_collections,0.274,0.149,0.075,0.502,0.18
INV00024,gentle_reminder,0.157,0.086,0.043,0.714,0.02
INV00024,firm_reminder,0.242,0.132,0.066,0.56,0.05
INV00024,phone_call,0.25,0.136,0.068,0.546,0.06
INV00024,payment_plan_offer,0.299,0.163,0.082,0.456,0.03
INV00024,escalate_collections,0.306,0.167,0.083,0.444,0.18
INV00025,gentle_reminder,0.236,0.129,0.064,0.571,0.02
INV00025,firm_reminder,0.285,0.155,0.078,0.482,0.05
INV00025,phone_call,0.313,0.171,0.085,0.431,0.06
INV00025,payment_plan_offer,0.348,0.19,0.095,0.367,0.03
INV00025,escalate_collections,0.347,0.189,0.095,0.369,0.18
INV00026,gentle_reminder,0.099,0.054,0.027,0.82,0.02
INV00026,firm_reminder,0.17,0.093,0.046,0.691,0.05
INV00026,phone_call,0.216,0.118,0.059,0.607,0.06
INV00026,payment_plan_offer,0.211,0.115,0.058,0.616,0.03
INV00026,escalate_collections,0.254,0.138,0.069,0.539,0.18
INV00027,gentle_reminder,0.247,0.135,0.067,0.551,0.02
INV00027,firm_reminder,0.256,0.139,0.07,0.535,0.05
INV00027,phone_call,0.326,0.178,0.089,0.407,0.06
INV00027,payment_plan_offer,0.352,0.192,0.096,0.36,0.03
INV00027,escalate_collections,0.387,0.211,0.106,0.296,0.18
INV00028,gentle_reminder,0.198,0.108,0.054,0.64,0.02
INV00028,firm_reminder,0.212,0.116,0.058,0.614,0.05
INV00028,phone_call,0.287,0.157,0.078,0.478,0.06
INV00028,payment_plan_offer,0.302,0.165,0.082,0.451,0.03
INV00028,escalate_collections,0.324,0.177,0.088,0.411,0.18
INV00029,gentle_reminder,0.227,0.124,0.062,0.587,0.02
INV00029,firm_reminder,0.284,0.155,0.078,0.483,0.05
INV00029,phone_call,0.342,0.186,0.093,0.379,0.06
INV00029,payment_plan_offer,0.345,0.188,0.094,0.373,0.03
INV00029,escalate_collections,0.375,0.204,0.102,0.319,0.18
INV00030,gentle_reminder,0.121,0.066,0.033,0.78,0.02
INV00030,firm_reminder,0.136,0.074,0.037,0.753,0.05
INV00030,phone_call,0.183,0.1,0.05,0.667,0.06
INV00030,payment_plan_offer,0.212,0.116,0.058,0.614,0.03
INV00030,escalate_collections,0.233,0.127,0.063,0.577,0.18
INV00031,gentle_reminder,0.248,0.135,0.068,0.549,0.02
INV00031,firm_reminder,0.279,0.152,0.076,0.493,0.05
INV00031,phone_call,0.332,0.181,0.091,0.396,0.06
INV00031,payment_plan_offer,0.372,0.203,0.101,0.324,0.03
INV00031,escalate_collections,0.394,0.215,0.107,0.284,0.18
INV00032,gentle_reminder,0.149,0.081,0.041,0.729,0.02
INV00032,firm_reminder,0.193,0.105,0.053,0.649,0.05
INV00032,phone_call,0.257,0.14,0.07,0.533,0.06
INV00032,payment_plan_offer,0.255,0.139,0.07,0.536,0.03
INV00032,escalate_collections,0.324,0.177,0.088,0.411,0.18
INV00033,gentle_reminder,0.195,0.106,0.053,0.646,0.02
INV00033,firm_reminder,0.281,0.153,0.077,0.489,0.05
INV00033,phone_call,0.328,0.179,0.089,0.404,0.06
INV00033,payment_plan_offer,0.327,0.178,0.089,0.406,0.03
INV00033,escalate_collections,0.372,0.203,0.101,0.324,0.18
INV00034,gentle_reminder,0.21,0.115,0.057,0.618,0.02
INV00034,firm_reminder,0.263,0.143,0.072,0.522,0.05
INV00034,phone_call,0.269,0.147,0.073,0.511,0.06
INV00034,payment_plan_offer,0.312,0.17,0.085,0.433,0.03
INV00034,escalate_collections,0.371,0.202,0.101,0.326,0.18
INV00035,gentle_reminder,0.225,0.122,0.061,0.592,0.02
INV00035,firm_reminder,0.246,0.134,0.067,0.553,0.05
INV00035,phone_call,0.287,0.157,0.078,0.478,0.06
INV00035,payment_plan_offer,0.314,0.171,0.086,0.429,0.03
INV00035,escalate_collections,0.343,0.187,0.094,0.376,0.18
INV00036,gentle_reminder,0.214,0.117,0.058,0.611,0.02
INV00036,firm_reminder,0.242,0.132,0.066,0.56,0.05
INV00036,phone_call,0.291,0.159,0.079,0.471,0.06
INV00036,payment_plan_offer,0.34,0.185,0.093,0.382,0.03
INV00036,escalate_collections,0.4,0.218,0.109,0.273,0.18
INV00037,gentle_reminder,0.139,0.076,0.038,0.747,0.02
INV00037,firm_reminder,0.193,0.105,0.053,0.649,0.05
INV00037,phone_call,0.223,0.121,0.061,0.595,0.06
INV00037,payment_plan_offer,0.286,0.156,0.078,0.48,0.03
INV00037,escalate_collections,0.322,0.176,0.088,0.414,0.18
INV00038,gentle_reminder,0.238,0.13,0.065,0.567,0.02
INV00038,firm_reminder,0.277,0.151,0.076,0.496,0.05
INV00038,phone_call,0.31,0.169,0.084,0.437,0.06
INV00038,payment_plan_offer,0.338,0.184,0.092,0.386,0.03
INV00038,escalate_collections,0.35,0.191,0.096,0.363,0.18
INV00039,gentle_reminder,0.179,0.098,0.049,0.674,0.02
INV00039,firm_reminder,0.239,0.13,0.065,0.566,0.05
INV00039,phone_call,0.268,0.146,0.073,0.513,0.06
INV00039,payment_plan_offer,0.293,0.16,0.08,0.467,0.03
INV00039,escalate_collections,0.317,0.173,0.086,0.424,0.18
INV00040,gentle_reminder,0.176,0.096,0.048,0.68,0.02
INV00040,firm_reminder,0.224,0.122,0.061,0.593,0.05
INV00040,phone_call,0.234,0.128,0.064,0.574,0.06
INV00040,payment_plan_offer,0.262,0.143,0.071,0.524,0.03
INV00040,escalate_collections,0.331,0.181,0.09,0.398,0.18
INV00041,gentle_reminder,0.103,0.056,0.028,0.813,0.02
INV00041,firm_reminder,0.156,0.085,0.043,0.716,0.05
INV00041,phone_call,0.198,0.108,0.054,0.64,0.06
INV00041,payment_plan_offer,0.219,0.119,0.06,0.602,0.03
INV00041,escalate_collections,0.254,0.139,0.069,0.538,0.18
INV00042,gentle_reminder,0.083,0.045,0.023,0.849,0.02
INV00042,firm_reminder,0.137,0.075,0.037,0.751,0.05
INV00042,phone_call,0.204,0.111,0.056,0.629,0.06
INV00042,payment_plan_offer,0.194,0.106,0.053,0.647,0.03
INV00042,escalate_collections,0.228,0.124,0.062,0.586,0.18
INV00043,gentle_reminder,0.139,0.076,0.038,0.747,0.02
INV00043,firm_reminder,0.175,0.095,0.048,0.682,0.05
INV00043,phone_call,0.202,0.11,0.055,0.633,0.06
INV00043,payment_plan_offer,0.208,0.114,0.057,0.621,0.03
INV00043,escalate_collections,0.254,0.139,0.069,0.538,0.18
INV00044,gentle_reminder,0.22,0.12,0.06,0.6,0.02
INV00044,firm_reminder,0.239,0.13,0.065,0.566,0.05
INV00044,phone_call,0.31,0.169,0.085,0.436,0.06
INV00044,payment_plan_offer,0.346,0.189,0.094,0.371,0.03
INV00044,escalate_collections,0.337,0.184,0.092,0.387,0.18
INV00045,gentle_reminder,0.286,0.156,0.078,0.48,0.02
INV00045,firm_reminder,0.332,0.181,0.09,0.397,0.05
INV00045,phone_call,0.356,0.194,0.097,0.353,0.06
INV00045,payment_plan_offer,0.383,0.209,0.104,0.304,0.03
INV00045,escalate_collections,0.426,0.232,0.116,0.226,0.18
INV00046,gentle_reminder,0.213,0.116,0.058,0.613,0.02
INV00046,firm_reminder,0.253,0.138,0.069,0.54,0.05
INV00046,phone_call,0.276,0.15,0.075,0.499,0.06
INV00046,payment_plan_offer,0.294,0.16,0.08,0.466,0.03
INV00046,escalate_collections,0.339,0.185,0.092,0.384,0.18
INV00047,gentle_reminder,0.117,0.064,0.032,0.787,0.02
INV00047,firm_reminder,0.167,0.091,0.046,0.696,0.05
INV00047,phone_call,0.207,0.113,0.057,0.623,0.06
INV00047,payment_plan_offer,0.276,0.151,0.075,0.498,0.03
INV00047,escalate_collections,0.273,0.149,0.074,0.504,0.18
INV00048,gentle_reminder,0.196,0.107,0.054,0.643,0.02
INV00048,firm_reminder,0.24,0.131,0.066,0.563,0.05
INV00048,phone_call,0.256,0.14,0.07,0.534,0.06
INV00048,payment_plan_offer,0.296,0.161,0.081,0.462,0.03
INV00048,escalate_collections,0.343,0.187,0.093,0.377,0.18
INV00049,gentle_reminder,0.119,0.065,0.032,0.784,0.02
INV00049,firm_reminder,0.16,0.087,0.044,0.709,0.05
INV00049,phone_call,0.189,0.103,0.052,0.656,0.06
INV00049,payment_plan_offer,0.227,0.124,0.062,0.587,0.03
INV00049,escalate_collections,0.263,0.143,0.072,0.522,0.18
INV00050,gentle_reminder,0.209,0.114,0.057,0.62,0.02
INV00050,firm_reminder,0.281,0.153,0.077,0.489,0.05
INV00050,phone_call,0.343,0.187,0.093,0.377,0.06
INV00050,payment_plan_offer,0.355,0.194,0.097,0.354,0.03
INV00050,escalate_collections,0.383,0.209,0.104,0.304,0.18
INV00051,gentle_reminder,0.195,0.107,0.053,0.645,0.02
INV00051,firm_reminder,0.228,0.124,0.062,0.586,0.05
INV00051,phone_call,0.272,0.149,0.074,0.505,0.06
INV00051,payment_plan_offer,0.326,0.178,0.089,0.407,0.03
INV00051,escalate_collections,0.322,0.175,0.088,0.415,0.18
INV00052,gentle_reminder,0.206,0.113,0.056,0.625,0.02
INV00052,firm_reminder,0.221,0.121,0.06,0.598,0.05
INV00052,phone_call,0.308,0.168,0.084,0.44,0.06
INV00052,payment_plan_offer,0.295,0.161,0.08,0.464,0.03
INV00052,escalate_collections,0.357,0.195,0.097,0.351,0.18
INV00053,gentle_reminder,0.229,0.125,0.062,0.584,0.02
INV00053,firm_reminder,0.313,0.171,0.085,0.431,0.05
INV00053,phone_call,0.356,0.194,0.097,0.353,0.06
INV00053,payment_plan_offer,0.384,0.21,0.105,0.301,0.03
INV00053,escalate_collections,0.388,0.212,0.106,0.294,0.18
INV00054,gentle_reminder,0.115,0.063,0.031,0.791,0.02
INV00054,firm_reminder,0.188,0.103,0.051,0.658,0.05
INV00054,phone_call,0.232,0.127,0.063,0.578,0.06
INV00054,payment_plan_offer,0.26,0.142,0.071,0.527,0.03
INV00054,escalate_collections,0.314,0.171,0.086,0.429,0.18
INV00055,gentle_reminder,0.077,0.042,0.021,0.86,0.02
INV00055,firm_reminder,0.081,0.044,0.022,0.853,0.05
INV00055,phone_call,0.157,0.086,0.043,0.714,0.06
INV00055,payment_plan_offer,0.183,0.1,0.05,0.667,0.03
INV00055,escalate_collections,0.18,0.098,0.049,0.673,0.18
INV00056,gentle_reminder,0.144,0.078,0.039,0.739,0.02
INV00056,firm_reminder,0.166,0.091,0.045,0.698,0.05
INV00056,phone_call,0.248,0.135,0.068,0.549,0.06
INV00056,payment_plan_offer,0.272,0.148,0.074,0.506,0.03
INV00056,escalate_collections,0.278,0.152,0.076,0.494,0.18
INV00057,gentle_reminder,0.251,0.137,0.068,0.544,0.02
INV00057,firm_reminder,0.333,0.182,0.091,0.394,0.05
INV00057,phone_call,0.335,0.183,0.091,0.391,0.06
INV00057,payment_plan_offer,0.373,0.204,0.102,0.321,0.03
INV00057,escalate_collections,0.426,0.232,0.116,0.226,0.18
INV00058,gentle_reminder,0.172,0.094,0.047,0.687,0.02
INV00058,firm_reminder,0.239,0.13,0.065,0.566,0.05
INV00058,phone_call,0.284,0.155,0.077,0.484,0.06
INV00058,payment_plan_offer,0.315,0.172,0.086,0.427,0.03
INV00058,escalate_collections,0.348,0.19,0.095,0.367,0.18
INV00059,gentle_reminder,0.161,0.088,0.044,0.707,0.02
INV00059,firm_reminder,0.199,0.108,0.054,0.639,0.05
INV00059,phone_call,0.243,0.133,0.066,0.558,0.06
INV00059,payment_plan_offer,0.242,0.132,0.066,0.56,0.03
INV00059,escalate_collections,0.284,0.155,0.078,0.483,0.18
INV00060,gentle_reminder,0.147,0.08,0.04,0.733,0.02
INV00060,firm_reminder,0.148,0.081,0.04,0.731,0.05
INV00060,phone_call,0.225,0.123,0.061,0.591,0.06
INV00060,payment_plan_offer,0.247,0.135,0.067,0.551,0.03
INV00060,escalate_collections,0.267,0.145,0.073,0.515,0.18
INV00061,gentle_reminder,0.187,0.102,0.051,0.66,0.02
INV00061,firm_reminder,0.227,0.124,0.062,0.587,0.05
INV00061,phone_call,0.246,0.134,0.067,0.553,0.06
INV00061,payment_plan_offer,0.266,0.145,0.073,0.516,0.03
INV00061,escalate_collections,0.312,0.17,0.085,0.433,0.18
INV00062,gentle_reminder,0.166,0.091,0.045,0.698,0.02
INV00062,firm_reminder,0.182,0.099,0.05,0.669,0.05
INV00062,phone_call,0.268,0.146,0.073,0.513,0.06
INV00062,payment_plan_offer,0.281,0.153,0.077,0.489,0.03
INV00062,escalate_collections,0.285,0.156,0.078,0.481,0.18
INV00063,gentle_reminder,0.032,0.017,0.009,0.942,0.02
INV00063,firm_reminder,0.101,0.055,0.028,0.816,0.05
INV00063,phone_call,0.109,0.06,0.03,0.801,0.06
INV00063,payment_plan_offer,0.138,0.075,0.038,0.749,0.03
INV00063,escalate_collections,0.178,0.097,0.049,0.676,0.18
INV00064,gentle_reminder,0.242,0.132,0.066,0.56,0.02
INV00064,firm_reminder,0.278,0.152,0.076,0.494,0.05
INV00064,phone_call,0.289,0.157,0.079,0.475,0.06
INV00064,payment_plan_offer,0.358,0.195,0.098,0.349,0.03
INV00064,escalate_collections,0.376,0.205,0.103,0.316,0.18
INV00065,gentle_reminder,0.138,0.075,0.038,0.749,0.02
INV00065,firm_reminder,0.191,0.104,0.052,0.653,0.05
INV00065,phone_call,0.225,0.123,0.061,0.591,0.06
INV00065,payment_plan_offer,0.25,0.136,0.068,0.546,0.03
INV00065,escalate_collections,0.273,0.149,0.075,0.503,0.18
INV00066,gentle_reminder,0.185,0.101,0.051,0.663,0.02
INV00066,firm_reminder,0.224,0.122,0.061,0.593,0.05
INV00066,phone_call,0.256,0.14,0.07,0.534,0.06
INV00066,payment_plan_offer,0.334,0.182,0.091,0.393,0.03
INV00066,escalate_collections,0.373,0.204,0.102,0.321,0.18
INV00067,gentle_reminder,0.253,0.138,0.069,0.54,0.02
INV00067,firm_reminder,0.258,0.141,0.07,0.531,0.05
INV00067,phone_call,0.336,0.183,0.092,0.389,0.06
INV00067,payment_plan_offer,0.357,0.195,0.097,0.351,0.03
INV00067,escalate_collections,0.389,0.212,0.106,0.293,0.18
INV00068,gentle_reminder,0.054,0.029,0.015,0.902,0.02
INV00068,firm_reminder,0.131,0.072,0.036,0.761,0.05
INV00068,phone_call,0.165,0.09,0.045,0.7,0.06
INV00068,payment_plan_offer,0.173,0.094,0.047,0.686,0.03
INV00068,escalate_collections,0.216,0.118,0.059,0.607,0.18
INV00069,gentle_reminder,0.047,0.025,0.013,0.915,0.02
INV00069,firm_reminder,0.093,0.051,0.025,0.831,0.05
INV00069,phone_call,0.166,0.091,0.045,0.698,0.06
INV00069,payment_plan_offer,0.145,0.079,0.04,0.736,0.03
INV00069,escalate_collections,0.225,0.123,0.061,0.591,0.18
INV00070,gentle_reminder,0.123,0.067,0.034,0.776,0.02
INV00070,firm_reminder,0.156,0.085,0.043,0.716,0.05
INV00070,phone_call,0.188,0.103,0.051,0.658,0.06
INV00070,payment_plan_offer,0.209,0.114,0.057,0.62,0.03
INV00070,escalate_collections,0.24,0.131,0.065,0.564,0.18
INV00071,gentle_reminder,0.147,0.08,0.04,0.733,0.02
INV00071,firm_reminder,0.191,0.104,0.052,0.653,0.05
INV00071,phone_call,0.19,0.104,0.052,0.654,0.06
INV00071,payment_plan_offer,0.244,0.133,0.067,0.556,0.03
INV00071,escalate_collections,0.263,0.143,0.072,0.522,0.18
INV00072,gentle_reminder,0.172,0.094,0.047,0.687,0.02
INV00072,firm_reminder,0.19,0.103,0.052,0.655,0.05
INV00072,phone_call,0.259,0.141,0.071,0.529,0.06
INV00072,payment_plan_offer,0.295,0.161,0.08,0.464,0.03
INV00072,escalate_collections,0.343,0.187,0.093,0.377,0.18
INV00073,gentle_reminder,0.017,0.009,0.004,0.97,0.02
INV00073,firm_reminder,0.017,0.009,0.005,0.969,0.05
INV00073,phone_call,0.066,0.036,0.018,0.88,0.06
INV00073,payment_plan_offer,0.098,0.054,0.027,0.821,0.03
INV00073,escalate_collections,0.127,0.069,0.035,0.769,0.18
INV00074,gentle_reminder,0.231,0.126,0.063,0.58,0.02
INV00074,firm_reminder,0.234,0.128,0.064,0.574,0.05
INV00074,phone_call,0.291,0.159,0.079,0.471,0.06
INV00074,payment_plan_offer,0.305,0.166,0.083,0.446,0.03
INV00074,escalate_collections,0.379,0.207,0.103,0.311,0.18
INV00075,gentle_reminder,0.224,0.122,0.061,0.593,0.02
INV00075,firm_reminder,0.273,0.149,0.074,0.504,0.05
INV00075,phone_call,0.293,0.16,0.08,0.467,0.06
INV00075,payment_plan_offer,0.341,0.186,0.093,0.38,0.03
INV00075,escalate_collections,0.358,0.195,0.098,0.349,0.18
