invoice_id,action,pay_prob,promise_prob,partial_pay_prob,ignore_prob,annoyance_penalty
INV00008,payment_plan_offer,0.22,0.12,0.06,0.6,0.0333
INV00008,escalate_collections,0.283,0.154,0.077,0.486,0.2615
INV00009,gentle_reminder,0.017,0.009,0.004,0.97,0.0315
INV00009,firm_reminder,0.059,0.032,0.016,0.893,0.0788
INV00009,phone_call,0.134,0.073,0.037,0.756,0.0946
INV00009,payment_plan_offer,0.14,0.076,0.038,0.746,0.0473
INV00009,escalate_collections,0.199,0.108,0.054,0.639,0.612
INV00010,gentle_reminder,0.191,0.104,0.052,0.653,0.0253
INV00010,firm_reminder,0.227,0.124,0.062,0.587,0.0633
INV00010,phone_call,0.262,0.143,0.071,0.524,0.0759
INV00010,payment_plan_offer,0.277,0.151,0.075,0.497,0.038
INV00010,escalate_collections,0.332,0.181,0.09,0.397,0.3793
INV00011,gentle_reminder,0.142,0.077,0.039,0.742,0.0219
INV00011,firm_reminder,0.174,0.095,0.047,0.684,0.0547
INV00011,phone_call,0.219,0.119,0.06,0.602,0.0656
INV00011,payment_plan_offer,0.225,0.123,0.061,0.591,0.0328
INV00011,escalate_collections,0.281,0.153,0.077,0.489,0.2497
INV00012,gentle_reminder,0.17,0.093,0.046,0.691,0.0231
INV00012,firm_reminder,0.21,0.114,0.057,0.619,0.0577
INV00012,phone_call,0.281,0.153,0.077,0.489,0.0693
INV00012,payment_plan_offer,0.286,0.156,0.078,0.48,0.0346
INV00012,escalate_collections,0.339,0.185,0.092,0.384,0.2961
INV00013,gentle_reminder,0.115,0.063,0.031,0.791,0.0209
INV00013,firm_reminder,0.155,0.085,0.042,0.718,0.0524
INV00013,phone_call,0.152,0.083,0.042,0.723,0.0628
INV00013,payment_plan_offer,0.178,0.097,0.048,0.677,0.0314
INV00013,escalate_collections,0.237,0.129,0.065,0.569,0.2155
INV00014,gentle_reminder,0.292,0.159,0.08,0.469,0.0219
INV00014,firm_reminder,0.297,0.162,0.081,0.46,0.0548
INV00014,phone_call,0.355,0.194,0.097,0.354,0.0658
INV00014,payment_plan_offer,0.395,0.216,0.108,0.281,0.0329
INV00014,escalate_collections,0.436,0.238,0.119,0.207,0.252
INV00015,gentle_reminder,0.103,0.056,0.028,0.813,0.0206
INV00015,firm_reminder,0.118,0.064,0.032,0.786,0.0514
INV00015,phone_call,0.158,0.086,0.043,0.713,0.0617
INV00015,payment_plan_offer,0.185,0.101,0.05,0.664,0.0309
INV00015,escalate_collections,0.225,0.123,0.061,0.591,0.2016
INV00016,gentle_reminder,0.135,0.074,0.037,0.754,0.0206
INV00016,firm_reminder,0.186,0.102,0.051,0.661,0.0514
INV00016,phone_call,0.213,0.116,0.058,0.613,0.0617
INV00016,payment_plan_offer,0.244,0.133,0.066,0.557,0.0309
INV00016,escalate_collections,0.287,0.157,0.078,0.478,0.2016
INV00017,gentle_reminder,0.132,0.072,0.036,0.76,0.0211
INV00017,firm_reminder,0.134,0.073,0.036,0.757,0.0528
INV00017,phone_call,0.168,0.092,0.046,0.694,0.0634
INV00017,payment_plan_offer,0.206,0.112,0.056,0.626,0.0317
INV00017,escalate_collections,0.247,0.135,0.067,0.551,0.2223
INV00018,gentle_reminder,0.246,0.134,0.067,0.553,0.0224
INV00018,firm_reminder,0.294,0.16,0.08,0.466,0.0561
INV00018,phone_call,0.305,0.166,0.083,0.446,0.0673
INV00018,payment_plan_offer,0.352,0.192,0.096,0.36,0.0336
INV00018,escalate_collections,0.37,0.202,0.101,0.327,0.2709
INV00019,gentle_reminder,0.017,0.009,0.004,0.97,0.0225
INV00019,firm_reminder,0.025,0.013,0.007,0.955,0.0562
INV00019,phone_call,0.03,0.016,0.008,0.946,0.0674
INV00019,payment_plan_offer,0.07,0.038,0.019,0.873,0.0337
INV00019,escalate_collections,0.107,0.058,0.029,0.806,0.2727
INV00020,gentle_reminder,0.149,0.081,0.041,0.729,0.0222
INV00020,firm_reminder,0.155,0.084,0.042,0.719,0.0554
INV00020,phone_call,0.186,0.102,0.051,0.661,0.0665
INV00020,payment_plan_offer,0.244,0.133,0.067,0.556,0.0333
INV00020,escalate_collections,0.298,0.162,0.081,0.459,0.2615
INV00021,gentle_reminder,0.066,0.036,0.018,0.88,0.0315
INV00021,firm_reminder,0.101,0.055,0.028,0.816,0.0788
INV00021,phone_call,0.166,0.091,0.045,0.698,0.0946
INV00021,payment_plan_offer,0.176,0.096,0.048,0.68,0.0473
INV00021,escalate_collections,0.24,0.131,0.065,0.564,0.612
INV00022,gentle_reminder,0.14,0.076,0.038,0.746,0.0209
INV00022,firm_reminder,0.175,0.095,0.048,0.682,0.0524
INV00022,phone_call,0.18,0.098,0.049,0.673,0.0628
INV00022,payment_plan_offer,0.242,0.132,0.066,0.56,0.0314
INV00022,escalate_collections,0.287,0.157,0.078,0.478,0.2155
INV00023,gentle_reminder,0.095,0.052,0.026,0.827,0.0225
INV00023,firm_reminder,0.119,0.065,0.033,0.783,0.0562
INV00023,phone_call,0.177,0.097,0.048,0.678,0.0674
INV00023,payment_plan_offer,0.189,0.103,0.051,0.657,0.0337
INV00023,escalate_collections,0.282,0.154,0.077,0.487,0.2727
INV00024,gentle_reminder,0.118,0.064,0.032,0.786,0.0262
INV00024,firm_reminder,0.197,0.107,0.054,0.642,0.0656
INV00024,phone_call,0.248,0.135,0.068,0.549,0.0787
INV00024,payment_plan_offer,0.27,0.147,0.074,0.509,0.0394
INV00024,escalate_collections,0.312,0.17,0.085,0.433,0.414
INV00025,gentle_reminder,0.2,0.109,0.055,0.636,0.0219
INV00025,firm_reminder,0.239,0.131,0.065,0.565,0.0547
INV00025,phone_call,0.294,0.16,0.08,0.466,0.0656
INV00025,payment_plan_offer,0.292,0.159,0.08,0.469,0.0328
INV00025,escalate_collections,0.331,0.18,0.09,0.399,0.2497
INV00026,gentle_reminder,0.074,0.04,0.02,0.866,0.021
INV00026,firm_reminder,0.115,0.063,0.031,0.791,0.0525
INV00026,phone_call,0.152,0.083,0.041,0.724,0.063
INV00026,payment_plan_offer,0.201,0.109,0.055,0.635,0.0315
INV00026,escalate_collections,0.235,0.128,0.064,0.573,0.2178
INV00027,gentle_reminder,0.135,0.074,0.037,0.754,0.022
INV00027,firm_reminder,0.197,0.107,0.054,0.642,0.0549
INV00027,phone_call,0.245,0.134,0.067,0.554,0.0659
INV00027,payment_plan_offer,0.258,0.141,0.07,0.531,0.0329
INV00027,escalate_collections,0.293,0.16,0.08,0.467,0.2533
INV00028,gentle_reminder,0.188,0.103,0.051,0.658,0.022
INV00028,firm_reminder,0.212,0.115,0.058,0.615,0.0549
INV00028,phone_call,0.239,0.13,0.065,0.566,0.0659
INV00028,payment_plan_offer,0.247,0.134,0.067,0.552,0.0329
INV00028,escalate_collections,0.326,0.178,0.089,0.407,0.2533
INV00029,gentle_reminder,0.165,0.09,0.045,0.7,0.0205
INV00029,firm_reminder,0.18,0.098,0.049,0.673,0.0512
INV00029,phone_call,0.2,0.109,0.054,0.637,0.0614
INV00029,payment_plan_offer,0.268,0.146,0.073,0.513,0.0307
INV00029,escalate_collections,0.312,0.17,0.085,0.433,0.198
INV00030,gentle_reminder,0.203,0.111,0.055,0.631,0.0218
INV00030,firm_reminder,0.23,0.126,0.063,0.581,0.0544
INV00030,phone_call,0.272,0.149,0.074,0.505,0.0653
INV00030,payment_plan_offer,0.329,0.18,0.09,0.401,0.0326
INV00030,escalate_collections,0.343,0.187,0.093,0.377,0.2457
INV00031,gentle_reminder,0.163,0.089,0.044,0.704,0.0224
INV00031,firm_reminder,0.202,0.11,0.055,0.633,0.0559
INV00031,phone_call,0.242,0.132,0.066,0.56,0.0671
INV00031,payment_plan_offer,0.296,0.162,0.081,0.461,0.0335
INV00031,escalate_collections,0.326,0.178,0.089,0.407,0.2682
INV00032,gentle_reminder,0.084,0.046,0.023,0.847,0.0225
INV00032,firm_reminder,0.09,0.049,0.024,0.837,0.0562
INV00032,phone_call,0.127,0.069,0.035,0.769,0.0674
INV00032,payment_plan_offer,0.159,0.087,0.043,0.711,0.0337
INV00032,escalate_collections,0.237,0.129,0.065,0.569,0.2727
INV00033,gentle_reminder,0.122,0.067,0.033,0.778,0.0205
INV00033,firm_reminder,0.173,0.094,0.047,0.686,0.0513
INV00033,phone_call,0.234,0.128,0.064,0.574,0.0615
INV00033,payment_plan_offer,0.251,0.137,0.068,0.544,0.0308
INV00033,escalate_collections,0.261,0.142,0.071,0.526,0.1993
INV00034,gentle_reminder,0.155,0.084,0.042,0.719,0.0209
INV00034,firm_reminder,0.186,0.101,0.051,0.662,0.0524
INV00034,phone_call,0.227,0.124,0.062,0.587,0.0628
INV00034,payment_plan_offer,0.249,0.136,0.068,0.547,0.0314
INV00034,escalate_collections,0.308,0.168,0.084,0.44,0.2155
INV00035,gentle_reminder,0.267,0.146,0.073,0.514,0.0278
INV00035,firm_reminder,0.311,0.169,0.085,0.435,0.0695
INV00035,phone_call,0.352,0.192,0.096,0.36,0.0834
INV00035,payment_plan_offer,0.352,0.192,0.096,0.36,0.0417
INV00035,escalate_collections,0.423,0.231,0.115,0.231,0.4725
INV00036,gentle_reminder,0.153,0.083,0.042,0.722,0.0253
INV00036,firm_reminder,0.242,0.132,0.066,0.56,0.0633
INV00036,phone_call,0.25,0.137,0.068,0.545,0.0759
INV00036,payment_plan_offer,0.294,0.16,0.08,0.466,0.038
INV00036,escalate_collections,0.337,0.184,0.092,0.387,0.3793
INV00037,gentle_reminder,0.222,0.121,0.061,0.596,0.021
INV00037,firm_reminder,0.298,0.162,0.081,0.459,0.0526
INV00037,phone_call,0.338,0.184,0.092,0.386,0.0631
INV00037,payment_plan_offer,0.376,0.205,0.103,0.316,0.0315
INV00037,escalate_collections,0.404,0.22,0.11,0.266,0.2187
INV00038,gentle_reminder,0.133,0.073,0.036,0.758,0.0216
INV00038,firm_reminder,0.162,0.088,0.044,0.706,0.054
INV00038,phone_call,0.203,0.111,0.055,0.631,0.0648
INV00038,payment_plan_offer,0.207,0.113,0.056,0.624,0.0324
INV00038,escalate_collections,0.264,0.144,0.072,0.52,0.2403
INV00039,gentle_reminder,0.2,0.109,0.055,0.636,0.0212
INV00039,firm_reminder,0.213,0.116,0.058,0.613,0.0529
INV00039,phone_call,0.304,0.166,0.083,0.447,0.0635
INV00039,payment_plan_offer,0.288,0.157,0.079,0.476,0.0317
INV00039,escalate_collections,0.34,0.186,0.093,0.381,0.2232
INV00040,gentle_reminder,0.075,0.041,0.02,0.864,0.0224
INV00040,firm_reminder,0.161,0.088,0.044,0.707,0.0559
INV00040,phone_call,0.194,0.106,0.053,0.647,0.0671
INV00040,payment_plan_offer,0.187,0.102,0.051,0.66,0.0335
INV00040,escalate_collections,0.266,0.145,0.073,0.516,0.2682
INV00041,gentle_reminder,0.123,0.067,0.034,0.776,0.0211
INV00041,firm_reminder,0.155,0.084,0.042,0.719,0.0528
INV00041,phone_call,0.196,0.107,0.053,0.644,0.0634
INV00041,payment_plan_offer,0.204,0.111,0.056,0.629,0.0317
INV00041,escalate_collections,0.249,0.136,0.068,0.547,0.2223
INV00042,gentle_reminder,0.113,0.062,0.031,0.794,0.0282
INV00042,firm_reminder,0.176,0.096,0.048,0.68,0.0704
INV00042,phone_call,0.213,0.116,0.058,0.613,0.0845
INV00042,payment_plan_offer,0.234,0.128,0.064,0.574,0.0422
INV00042,escalate_collections,0.256,0.14,0.07,0.534,0.486
INV00043,gentle_reminder,0.134,0.073,0.036,0.757,0.0205
INV00043,firm_reminder,0.183,0.1,0.05,0.667,0.0512
INV00043,phone_call,0.223,0.121,0.061,0.595,0.0614
INV00043,payment_plan_offer,0.258,0.141,0.07,0.531,0.0307
INV00043,escalate_collections,0.281,0.153,0.077,0.489,0.198
INV00044,gentle_reminder,0.208,0.114,0.057,0.621,0.03
INV00044,firm_reminder,0.303,0.165,0.083,0.449,0.075
INV00044,phone_call,0.316,0.172,0.086,0.426,0.09
INV00044,payment_plan_offer,0.342,0.187,0.093,0.378,0.045
INV00044,escalate_collections,0.393,0.214,0.107,0.286,0.5553
INV00045,gentle_reminder,0.136,0.074,0.037,0.753,0.0254
INV00045,firm_reminder,0.178,0.097,0.049,0.676,0.0634
INV00045,phone_call,0.218,0.119,0.059,0.604,0.0761
INV00045,payment_plan_offer,0.223,0.122,0.061,0.594,0.0381
INV00045,escalate_collections,0.246,0.134,0.067,0.553,0.3816
INV00046,gentle_reminder,0.168,0.092,0.046,0.694,0.0209
INV00046,firm_reminder,0.21,0.115,0.057,0.618,0.0521
INV00046,phone_call,0.275,0.15,0.075,0.5,0.0626
INV00046,payment_plan_offer,0.286,0.156,0.078,0.48,0.0313
INV00046,escalate_collections,0.336,0.183,0.092,0.389,0.2119
INV00047,gentle_reminder,0.04,0.022,0.011,0.927,0.021
INV00047,firm_reminder,0.086,0.047,0.024,0.843,0.0525
INV00047,phone_call,0.171,0.093,0.047,0.689,0.063
INV00047,payment_plan_offer,0.165,0.09,0.045,0.7,0.0315
INV00047,escalate_collections,0.229,0.125,0.062,0.584,0.2178
INV00048,gentle_reminder,0.127,0.069,0.035,0.769,0.022
INV00048,firm_reminder,0.205,0.112,0.056,0.627,0.0549
INV00048,phone_call,0.254,0.139,0.069,0.538,0.0659
INV00048,payment_plan_offer,0.269,0.147,0.073,0.511,0.0329
INV00048,escalate_collections,0.317,0.173,0.086,0.424,0.2533
INV00049,gentle_reminder,0.017,0.009,0.004,0.97,0.021
INV00049,firm_reminder,0.052,0.028,0.014,0.906,0.0525
INV00049,phone_call,0.123,0.067,0.034,0.776,0.063
INV00049,payment_plan_offer,0.155,0.084,0.042,0.719,0.0315
INV00049,escalate_collections,0.164,0.089,0.045,0.702,0.2178
INV00050,gentle_reminder,0.178,0.097,0.049,0.676,0.0253
INV00050,firm_reminder,0.261,0.142,0.071,0.526,0.0633
INV00050,phone_call,0.269,0.147,0.073,0.511,0.0759
INV00050,payment_plan_offer,0.325,0.177,0.089,0.409,0.038
INV00050,escalate_collections,0.366,0.199,0.1,0.335,0.3793
INV00051,gentle_reminder,0.154,0.084,0.042,0.72,0.025
INV00051,firm_reminder,0.197,0.107,0.054,0.642,0.0625
INV00051,phone_call,0.211,0.115,0.057,0.617,0.075
INV00051,payment_plan_offer,0.272,0.148,0.074,0.506,0.0375
INV00051,escalate_collections,0.301,0.164,0.082,0.453,0.3681
INV00052,gentle_reminder,0.087,0.048,0.024,0.841,0.0212
INV00052,firm_reminder,0.132,0.072,0.036,0.76,0.053
INV00052,phone_call,0.19,0.103,0.052,0.655,0.0636
INV00052,payment_plan_offer,0.233,0.127,0.064,0.576,0.0318
INV00052,escalate_collections,0.25,0.136,0.068,0.546,0.2245
INV00053,gentle_reminder,0.244,0.133,0.067,0.556,0.0226
INV00053,firm_reminder,0.324,0.177,0.088,0.411,0.0566
INV00053,phone_call,0.339,0.185,0.092,0.384,0.0679
INV00053,payment_plan_offer,0.373,0.203,0.102,0.322,0.034
INV00053,escalate_collections,0.415,0.227,0.113,0.245,0.279
INV00054,gentle_reminder,0.241,0.131,0.066,0.562,0.0224
INV00054,firm_reminder,0.29,0.158,0.079,0.473,0.0561
INV00054,phone_call,0.321,0.175,0.088,0.416,0.0673
INV00054,payment_plan_offer,0.36,0.196,0.098,0.346,0.0336
INV00054,escalate_collections,0.414,0.226,0.113,0.247,0.2709
INV00055,gentle_reminder,0.017,0.009,0.004,0.97,0.0255
INV00055,firm_reminder,0.017,0.009,0.004,0.97,0.0637
INV00055,phone_call,0.039,0.021,0.011,0.929,0.0765
INV00055,payment_plan_offer,0.089,0.049,0.024,0.838,0.0382
INV00055,escalate_collections,0.101,0.055,0.028,0.816,0.3856
INV00056,gentle_reminder,0.017,0.009,0.004,0.97,0.0211
INV00056,firm_reminder,0.017,0.009,0.004,0.97,0.0528
INV00056,phone_call,0.085,0.046,0.023,0.846,0.0634
INV00056,payment_plan_offer,0.119,0.065,0.032,0.784,0.0317
INV00056,escalate_collections,0.132,0.072,0.036,0.76,0.2223
INV00057,gentle_reminder,0.162,0.088,0.044,0.706,0.0206
INV00057,firm_reminder,0.213,0.116,0.058,0.613,0.0514
INV00057,phone_call,0.265,0.145,0.072,0.518,0.0617
INV00057,payment_plan_offer,0.257,0.14,0.07,0.533,0.0309
INV00057,escalate_collections,0.314,0.171,0.086,0.429,0.2016
INV00058,gentle_reminder,0.26,0.142,0.071,0.527,0.0222
INV00058,firm_reminder,0.295,0.161,0.08,0.464,0.0554
INV00058,phone_call,0.316,0.172,0.086,0.426,0.0665
INV00058,payment_plan_offer,0.343,0.187,0.094,0.376,0.0333
INV00058,escalate_collections,0.384,0.21,0.105,0.301,0.2615
INV00059,gentle_reminder,0.135,0.073,0.037,0.755,0.0214
INV00059,firm_reminder,0.186,0.101,0.051,0.662,0.0536
INV00059,phone_call,0.213,0.116,0.058,0.613,0.0643
INV00059,payment_plan_offer,0.249,0.136,0.068,0.547,0.0321
INV00059,escalate_collections,0.312,0.17,0.085,0.433,0.2335
INV00060,gentle_reminder,0.286,0.156,0.078,0.48,0.0278
INV00060,firm_reminder,0.291,0.158,0.079,0.472,0.0695
INV00060,phone_call,0.344,0.188,0.094,0.374,0.0834
INV00060,payment_plan_offer,0.36,0.196,0.098,0.346,0.0417
INV00060,escalate_collections,0.437,0.239,0.119,0.205,0.4725
INV00061,gentle_reminder,0.116,0.064,0.032,0.788,0.0205
INV00061,firm_reminder,0.161,0.088,0.044,0.707,0.0512
INV00061,phone_call,0.2,0.109,0.055,0.636,0.0614
INV00061,payment_plan_offer,0.219,0.119,0.06,0.602,0.0307
INV00061,escalate_collections,0.261,0.142,0.071,0.526,0.198
INV00062,gentle_reminder,0.143,0.078,0.039,0.74,0.0253
INV00062,firm_reminder,0.188,0.102,0.051,0.659,0.0633
INV00062,phone_call,0.247,0.135,0.067,0.551,0.0759
INV00062,payment_plan_offer,0.263,0.144,0.072,0.521,0.038
INV00062,escalate_collections,0.302,0.165,0.082,0.451,0.3793
INV00063,gentle_reminder,0.259,0.141,0.071,0.529,0.0237
INV00063,firm_reminder,0.324,0.177,0.088,0.411,0.0592
INV00063,phone_call,0.372,0.203,0.102,0.323,0.071
INV00063,payment_plan_offer,0.369,0.201,0.101,0.329,0.0355
INV00063,escalate_collections,0.411,0.224,0.112,0.253,0.3172
INV00064,gentle_reminder,0.22,0.12,0.06,0.6,0.0219
INV00064,firm_reminder,0.247,0.134,0.067,0.552,0.0547
INV00064,phone_call,0.3,0.164,0.082,0.454,0.0656
INV00064,payment_plan_offer,0.328,0.179,0.089,0.404,0.0328
INV00064,escalate_collections,0.363,0.198,0.099,0.34,0.2497
INV00065,gentle_reminder,0.156,0.085,0.043,0.716,0.0204
INV00065,firm_reminder,0.188,0.103,0.051,0.658,0.051
INV00065,phone_call,0.242,0.132,0.066,0.56,0.0613
INV00065,payment_plan_offer,0.295,0.161,0.081,0.463,0.0306
INV00065,escalate_collections,0.3,0.164,0.082,0.454,0.1957
INV00066,gentle_reminder,0.12,0.065,0.033,0.782,0.0209
INV00066,firm_reminder,0.204,0.111,0.056,0.629,0.0524
INV00066,phone_call,0.24,0.131,0.066,0.563,0.0628
INV00066,payment_plan_offer,0.254,0.138,0.069,0.539,0.0314
INV00066,escalate_collections,0.274,0.149,0.075,0.502,0.2155
INV00067,gentle_reminder,0.207,0.113,0.057,0.623,0.0237
INV00067,firm_reminder,0.277,0.151,0.076,0.496,0.0592
INV00067,phone_call,0.297,0.162,0.081,0.46,0.071
INV00067,payment_plan_offer,0.354,0.193,0.097,0.356,0.0355
INV00067,escalate_collections,0.404,0.22,0.11,0.266,0.3172
INV00068,gentle_reminder,0.193,0.105,0.053,0.649,0.0212
INV00068,firm_reminder,0.276,0.151,0.075,0.498,0.0529
INV00068,phone_call,0.321,0.175,0.088,0.416,0.0635
INV00068,payment_plan_offer,0.332,0.181,0.091,0.396,0.0317
INV00068,escalate_collections,0.373,0.203,0.102,0.322,0.2232
INV00069,gentle_reminder,0.094,0.051,0.026,0.829,0.0212
INV00069,firm_reminder,0.131,0.071,0.036,0.762,0.0529
INV00069,phone_call,0.171,0.093,0.047,0.689,0.0635
INV00069,payment_plan_offer,0.18,0.098,0.049,0.673,0.0317
INV00069,escalate_collections,0.213,0.116,0.058,0.613,0.2232
INV00070,gentle_reminder,0.126,0.069,0.034,0.771,0.025
INV00070,firm_reminder,0.166,0.09,0.045,0.699,0.0625
INV00070,phone_call,0.216,0.118,0.059,0.607,0.075
INV00070,payment_plan_offer,0.242,0.132,0.066,0.56,0.0375
INV00070,escalate_collections,0.325,0.177,0.089,0.409,0.3672
INV00071,gentle_reminder,0.083,0.045,0.023,0.849,0.0212
INV00071,firm_reminder,0.152,0.083,0.041,0.724,0.053
INV00071,phone_call,0.196,0.107,0.053,0.644,0.0636
INV00071,payment_plan_offer,0.198,0.108,0.054,0.64,0.0318
INV00071,escalate_collections,0.251,0.137,0.068,0.544,0.2245
INV00072,gentle_reminder,0.208,0.113,0.057,0.622,0.022
INV00072,firm_reminder,0.256,0.14,0.07,0.534,0.0549
INV00072,phone_call,0.298,0.162,0.081,0.459,0.0659
INV00072,payment_plan_offer,0.312,0.17,0.085,0.433,0.0329
INV00072,escalate_collections,0.365,0.199,0.099,0.337,0.2533
INV00073,gentle_reminder,0.077,0.042,0.021,0.86,0.0254
INV00073,firm_reminder,0.094,0.051,0.026,0.829,0.0634
INV00073,phone_call,0.166,0.09,0.045,0.699,0.0761
INV00073,payment_plan_offer,0.214,0.116,0.058,0.612,0.0381
INV00073,escalate_collections,0.24,0.131,0.065,0.564,0.3816
INV00074,gentle_reminder,0.212,0.115,0.058,0.615,0.0312
INV00074,firm_reminder,0.256,0.14,0.07,0.534,0.078
INV00074,phone_call,0.289,0.157,0.079,0.475,0.0936
INV00074,payment_plan_offer,0.319,0.174,0.087,0.42,0.0468
INV00074,escalate_collections,0.387,0.211,0.106,0.296,0.5994
INV00075,gentle_reminder,0.089,0.049,0.024,0.838,0.025
INV00075,firm_reminder,0.162,0.089,0.044,0.705,0.0625
INV00075,phone_call,0.177,0.097,0.048,0.678,0.075
INV00075,payment_plan_offer,0.25,0.136,0.068,0.546,0.0375
INV00075,escalate_collections,0.251,0.137,0.068,0.544,0.3681
